ders_kodu,dersinadi,ogretimyili,donem,LLM_METIN
MAT247,Engineering Mathematics (Mühendislik Matematiği),2024-2025,GÜZ,"DERS KODU: MAT247 | DERS ADI: Engineering Mathematics (Mühendislik Matematiği)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 5, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 9999/1
- DETAYLI İÇERİK: Çok-değişkenli Hesaplama: Koordinat eksenlerinin dönüşümü, Nokta çarpımı, Vektör çarpımı, Gradyant hesaplama, Vektör alan ıraksaması, Vektör alan bükülmesi, Vektör integrali, Çizgisel integral, Çoklu integral, Yay uzunluğu, Yüzey alanı, Hacim hesaplama, Silindirik ve Küresel Koordinat sistemleri; Gauss teoremi, Stokes teoremi; Karmaşık Hesaplama: Karmaşık matematik işlemleri, Cauchy-Riemann koşulları, Cauchys integral teoremi, Tekillik, Artık hesaplama, Konformal haritalandırma; Optimizasyona Giriş: Sınırlandırılmamış optimizasyon, Doğrusal programlama, Doğrusal programlama problemleri, Sınırlandırılmış optimizasyon, Lagrange çarpanları; İkinci-Derece Koşullar.
---
"
BİM444,Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları),2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 7/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM463,Introduction to Natural Language Processing (Doğal Dil İşlemeye Giriş),2024-2025,GÜZ,"DERS KODU: BİM463 | DERS ADI: Introduction to Natural Language Processing (Doğal Dil İşlemeye Giriş)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 80/0
- DETAYLI İÇERİK: Temel Metin İşleme: Tokenizasyon; Morfolojik Analiz: Gövdeleme, Kök çözümleme, Durak kelimeler; N-gram Dil Modelleri; Metin Sınıflandırma; Anlambilim; Kelime Gömmeleri; Sözcük Sınıfları ve Konuşma Parçası Etiketleme; Varlık İsmi Tanıma; Gizli Markov Modelleri; Sözdizimsel Analiz; Anlamsal Ayrıştırma; İstatistiksel Ayrıştırma; Derin Öğrenme ile Doğal Dil İşleme Uygulamaları.
---
"
BİM444,Bilgisayar Mühendisliği Uygulamaları,2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Bilgisayar Mühendisliği Uygulamaları
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 7/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM437,Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım),2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 7/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM437,Bilgisayar Mühendisliği için Tasarım,2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Bilgisayar Mühendisliği için Tasarım
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 7/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM218,Operating Systems (İşletim Sistemleri),2024-2025,BAHAR,"DERS KODU: BİM218 | DERS ADI: Operating Systems (İşletim Sistemleri)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 6, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 9999/1
- DETAYLI İÇERİK: İşletim Sistemi Yapıları: İşletim sistemi servisleri, Sistem çağrıları; Prosesler: Proses kavramı, Prosesler arası iletişim; İplikler: Çok çekirdekli programlama, Çok iplikli modeller, İplik kütüphaneleri; Proses Senkronizasyonu: Kritik bölge problemi, Semaforlar, Senkronizasyonun klasik problemleri; CPU Sıralama: Sıralama kriterleri, Sıralama algoritmaları; Kilitlenmeler; Ana Bellek: Bitişik bellek paylaştırma, Bölümleme, Sayfalama; Sanal Bellek; Yığın Bellek Yapısı; Dosya Sistemleri; I/O Sistemleri: I/O donanımı, Uygulama I/O arayüzü, Çekirdek I/O alt sistemi.
---
"
BİM222,İnternet Programlama,2024-2025,BAHAR,"DERS KODU: BİM222 | DERS ADI: İnternet Programlama
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 4, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 9999/1
- DETAYLI İÇERİK: HTML Diline Giriş (HTML 4); Cascading Style Sheets (CSS) Kavramı; Javascript ? Giriş; Javascript - Kontrol Yapıları; Javascript ? Fonksiyonlar; Javascript - Diziler; Javascript - Objeler; Dinamik HTML (DHTML); DHTML Nesne Modeli ve Kolleksiyonlar; DHTML - Olaylar; XML'e Giriş; XML Biçimi Oluşturma; XML Döküman Tipi Tanımlama (DTD) ve Şemalar; XML Döküman Nesne Modeli; XML Path Dili; XSL; Extensible Stylesheet Language Transformations (XSLT).
---
"
BİM222,Internet Programming (İnternet Programlama),2024-2025,BAHAR,"DERS KODU: BİM222 | DERS ADI: Internet Programming (İnternet Programlama)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 4, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 9999/1
- DETAYLI İÇERİK: HTML Diline Giriş (HTML 4); Cascading Style Sheets (CSS) Kavramı; Javascript ? Giriş; Javascript - Kontrol Yapıları; Javascript ? Fonksiyonlar; Javascript - Diziler; Javascript - Objeler; Dinamik HTML (DHTML); DHTML Nesne Modeli ve Kolleksiyonlar; DHTML - Olaylar; XML'e Giriş; XML Biçimi Oluşturma; XML Döküman Tipi Tanımlama (DTD) ve Şemalar; XML Döküman Nesne Modeli; XML Path Dili; XSL; Extensible Stylesheet Language Transformations (XSLT).
---
"
ESTÜ401,Profesyonel Hayata Geçiş,2024-2025,BAHAR,"DERS KODU: ESTÜ401 | DERS ADI: Profesyonel Hayata Geçiş
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 2.0
- KONTENJAN (Toplam/Birim İçi): 15/25
- DETAYLI İÇERİK: PH Hakkında Bilgilendirme, PH geçişte neler gereklidir?; Sektör Buluşmaları; 21. Yüzyıl Yetkinlikleri: Öz farkındalığın artırılması, Temel iletişim becerileri, Sorun çözme, Karar verme ve liderlik, Girişimcilik, Takım çalışması; Etkili Mülakat Teknikleri ve Mülakat Simülasyonu; Kariyer Planlama; Özgeçmiş Hazırlama Teknikleri; Ağ Kurma: İş hayatı için gerekli sosyal ağlar; Proje Yönetimi; İş Arama Stratejileri.
---
"
ESTÜ401,Introduction to Professional Life (Profesyonel Hayata Geçiş),2024-2025,BAHAR,"DERS KODU: ESTÜ401 | DERS ADI: Introduction to Professional Life (Profesyonel Hayata Geçiş)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 2.0
- KONTENJAN (Toplam/Birim İçi): 15/25
- DETAYLI İÇERİK: PH Hakkında Bilgilendirme, PH geçişte neler gereklidir?; Sektör Buluşmaları; 21. Yüzyıl Yetkinlikleri: Öz farkındalığın artırılması, Temel iletişim becerileri, Sorun çözme, Karar verme ve liderlik, Girişimcilik, Takım çalışması; Etkili Mülakat Teknikleri ve Mülakat Simülasyonu; Kariyer Planlama; Özgeçmiş Hazırlama Teknikleri; Ağ Kurma: İş hayatı için gerekli sosyal ağlar; Proje Yönetimi; İş Arama Stratejileri.
---
"
EMAT112,Genel Matematik II,2024-2025,BAHAR,"DERS KODU: EMAT112 | DERS ADI: Genel Matematik II
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 7.5
- KONTENJAN (Toplam/Birim İçi): 115/15
- DETAYLI İÇERİK: İntegral Uygulamaları: Dönel cisimlerin hacimleri, Yay uzunluğu ve Yüzey alanı, Kütle, Moment ve Kütle merkezi; Kutupsal Koordinatlar ve Eğriler; Diziler ve Seriler: Diziler ve yakınsaklık, Sonsuz seriler, Kuvvet serileri, Taylor ve Maclaurin serileri; Vektörler; Çok Değişkenli Fonksiyonlar: Kısmi türev, Gradyant ve yönlü türev, Kısmi türev uygulamaları; Çok Katlı İntegraller ve Uygulamaları; Vektörel Hesap.
---
"
EMAT112,Calculus II (Matematik II),2024-2025,BAHAR,"DERS KODU: EMAT112 | DERS ADI: Calculus II (Matematik II)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 7.5
- KONTENJAN (Toplam/Birim İçi): 115/15
- DETAYLI İÇERİK: İntegral Uygulamaları: Dönel cisimlerin hacimleri, Yay uzunluğu ve Yüzey alanı, Kütle, Moment ve Kütle merkezi; Kutupsal Koordinatlar ve Eğriler; Diziler ve Seriler: Diziler ve yakınsaklık, Sonsuz seriler, Kuvvet serileri, Taylor ve Maclaurin serileri; Vektörler; Çok Değişkenli Fonksiyonlar: Kısmi türev, Gradyant ve yönlü türev, Kısmi türev uygulamaları; Çok Katlı İntegraller ve Uygulamaları; Vektörel Hesap.
---
"
EMAT111,Genel Matematik I,2024-2025,GÜZ,"DERS KODU: EMAT111 | DERS ADI: Genel Matematik I
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 1, KREDİ: 7.5
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: Temel Kavramlar: Gerçel sayılar ve gerçel eksen, Düzlemde kartezyen koordinatlar, Karmaşık sayılar, Kuadratik denklemlerin grafikleri, Fonksiyonlar; Limit ve Süreklilik: Fonksiyonların limiti, Süreklilik; Türev: Teğet doğruları ve eğimleri, Türev kavramı, Türev alma kuralları; Ters, Üstel ve Logaritmik Fonksiyonlar; Türev Uygulamaları: Belirsiz formlar, Ekstremum değerler, Grafik çizimleri; İntegral: Belirli integral ve özellikleri, Belirsiz integral; Integral Teknikleri: Değişken değiştirme, Kısmi integrasyon, Rasyonel fonksiyonların integrali, Has olmayan integraller.
---
"
EMAT111,Calculus I (Genel Matematik I),2024-2025,GÜZ,"DERS KODU: EMAT111 | DERS ADI: Calculus I (Genel Matematik I)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 1, KREDİ: 7.5
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: Temel Kavramlar: Gerçel sayılar ve gerçel eksen, Düzlemde kartezyen koordinatlar, Karmaşık sayılar, Kuadratik denklemlerin grafikleri, Fonksiyonlar; Limit ve Süreklilik: Fonksiyonların limiti, Süreklilik; Türev: Teğet doğruları ve eğimleri, Türev kavramı, Türev alma kuralları; Ters, Üstel ve Logaritmik Fonksiyonlar; Türev Uygulamaları: Belirsiz formlar, Ekstremum değerler, Grafik çizimleri; İntegral: Belirli integral ve özellikleri, Belirsiz integral; Integral Teknikleri: Değişken değiştirme, Kısmi integrasyon, Rasyonel fonksiyonların integrali, Has olmayan integraller.
---
"
BİM490,Bilgi Erişimine Giriş,2024-2025,BAHAR,"DERS KODU: BİM490 | DERS ADI: Bilgi Erişimine Giriş
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 70/0
- DETAYLI İÇERİK: Boole Erişim; Kelime Hazinesi; Kayıt Listesi; İndeks İnşaası; İndeks Sıkıştırması; Vektor Uzay Modeli; Skor Vermesi; Bilgi Erişiminde Değerlendirme; Sorgu Genişletmesi; İlinti Geribildirimi, XML Gerigetirimi, Dil Modelleri; Metin Sınıflandırması; Metin Kümelemesi; Web Araması.
---
"
BİM490,Introduction to Information Retrieval (Bilgi Erişimine Giriş),2024-2025,BAHAR,"DERS KODU: BİM490 | DERS ADI: Introduction to Information Retrieval (Bilgi Erişimine Giriş)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 70/0
- DETAYLI İÇERİK: Boole Erişim; Kelime Hazinesi; Kayıt Listesi; İndeks İnşaası; İndeks Sıkıştırması; Vektor Uzay Modeli; Skor Vermesi; Bilgi Erişiminde Değerlendirme; Sorgu Genişletmesi; İlinti Geribildirimi, XML Gerigetirimi, Dil Modelleri; Metin Sınıflandırması; Metin Kümelemesi; Web Araması.
---
"
BİMSJ302,Bilgisayar Mühendisliği Stajı I,2024-2025,GÜZ,"DERS KODU: BİMSJ302 | DERS ADI: Bilgisayar Mühendisliği Stajı I
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 2.5
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: İşletmede Mesleki Çalışma; Mesleki Bilgi, Beceri, Tutum ve Davranışlar; İş Alanlarını ve Sektörü Tanıma; İş Hayatına Uyum Sağlama; İş Tecrübesi Edinme; Kurum/Kuruluşlardaki Uygulamaları Öğrenme; Gerçek Üretim ve Hizmet Ortamında Yetişme; Öğrenilen Bilgi ve Becerileri Uygulama; Gerçek Hayat Problemlerini ve Karmaşık Sistemleri Tanıma, Analiz Etme, Modelleme ve Çözme; Rapor Yazma.
---
"
FİZ106,Fizik II,2024-2025,BAHAR,"DERS KODU: FİZ106 | DERS ADI: Fizik II
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 6.0
- KONTENJAN (Toplam/Birim İçi): 61/0
- DETAYLI İÇERİK: Elektrik Alanlar: Elektrik yükü, Coulomb yasası, Elektrik akı, Gauss yasası; Elektrik Potansiyel: Potansiyel farkı, Potansiyel enerji, Elektrik potansiyelden elektrik alanın elde edilmesi; Kondansatörler: Sığanın tanımı ve hesaplanması, Dielektrikli kondansatörler, Yüklü kondansatörlerde depolanan enerji, Bir dış elektrik alanda elektrik dipol; Elektrik Akımı; Magnetik Alan: Magnetik alan kaynakları, Elektromagnetik indüksiyon.
---
"
BİMSJ302,Bilgisayar Mühendisliği Stajı I,2024-2025,BAHAR,"DERS KODU: BİMSJ302 | DERS ADI: Bilgisayar Mühendisliği Stajı I
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 2.5
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: İşletmede Mesleki Çalışma; Mesleki Bilgi, Beceri, Tutum ve Davranışlar; İş Alanlarını ve Sektörü Tanıma; İş Hayatına Uyum Sağlama; İş Tecrübesi Edinme; Kurum/Kuruluşlardaki Uygulamaları Öğrenme; Gerçek Üretim ve Hizmet Ortamında Yetişme; Öğrenilen Bilgi ve Becerileri Uygulama; Gerçek Hayat Problemlerini ve Karmaşık Sistemleri Tanıma, Analiz Etme, Modelleme ve Çözme; Rapor Yazma.
---
"
BİMSJ302,Computer Engineering Internship I,2024-2025,GÜZ,"DERS KODU: BİMSJ302 | DERS ADI: Computer Engineering Internship I
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 2.5
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: İşletmede Mesleki Çalışma; Mesleki Bilgi, Beceri, Tutum ve Davranışlar; İş Alanlarını ve Sektörü Tanıma; İş Hayatına Uyum Sağlama; İş Tecrübesi Edinme; Kurum/Kuruluşlardaki Uygulamaları Öğrenme; Gerçek Üretim ve Hizmet Ortamında Yetişme; Öğrenilen Bilgi ve Becerileri Uygulama; Gerçek Hayat Problemlerini ve Karmaşık Sistemleri Tanıma, Analiz Etme, Modelleme ve Çözme; Rapor Yazma.
---
"
BİMSJ302,Computer Engineering Internship I,2024-2025,BAHAR,"DERS KODU: BİMSJ302 | DERS ADI: Computer Engineering Internship I
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 2.5
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: İşletmede Mesleki Çalışma; Mesleki Bilgi, Beceri, Tutum ve Davranışlar; İş Alanlarını ve Sektörü Tanıma; İş Hayatına Uyum Sağlama; İş Tecrübesi Edinme; Kurum/Kuruluşlardaki Uygulamaları Öğrenme; Gerçek Üretim ve Hizmet Ortamında Yetişme; Öğrenilen Bilgi ve Becerileri Uygulama; Gerçek Hayat Problemlerini ve Karmaşık Sistemleri Tanıma, Analiz Etme, Modelleme ve Çözme; Rapor Yazma.
---
"
BİMSJ401,Bilgisayar Mühendisliği Stajı II,2024-2025,GÜZ,"DERS KODU: BİMSJ401 | DERS ADI: Bilgisayar Mühendisliği Stajı II
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 2.5
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: İşletmede Mesleki Çalışma; Mesleki Bilgi, Beceri, Tutum ve Davranışlar; İş Alanlarını ve Sektörü Tanıma; İş Hayatına Uyum Sağlama; İş Tecrübesi Edinme; Kurum/Kuruluşlardaki Uygulamaları Öğrenme; Gerçek Üretim ve Hizmet Ortamında Yetişme; Öğrenilen Bilgi ve Becerileri Uygulama; Gerçek Hayat Problemlerini ve Karmaşık Sistemleri Tanıma, Analiz Etme, Modelleme ve Çözme; Rapor Yazma.
---
"
BİMSJ401,Bilgisayar Mühendisliği Stajı II,2024-2025,BAHAR,"DERS KODU: BİMSJ401 | DERS ADI: Bilgisayar Mühendisliği Stajı II
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 2.5
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: İşletmede Mesleki Çalışma; Mesleki Bilgi, Beceri, Tutum ve Davranışlar; İş Alanlarını ve Sektörü Tanıma; İş Hayatına Uyum Sağlama; İş Tecrübesi Edinme; Kurum/Kuruluşlardaki Uygulamaları Öğrenme; Gerçek Üretim ve Hizmet Ortamında Yetişme; Öğrenilen Bilgi ve Becerileri Uygulama; Gerçek Hayat Problemlerini ve Karmaşık Sistemleri Tanıma, Analiz Etme, Modelleme ve Çözme; Rapor Yazma.
---
"
BİMSJ401,Computer Engineering Internship II,2024-2025,GÜZ,"DERS KODU: BİMSJ401 | DERS ADI: Computer Engineering Internship II
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 2.5
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: İşletmede Mesleki Çalışma; Mesleki Bilgi, Beceri, Tutum ve Davranışlar; İş Alanlarını ve Sektörü Tanıma; İş Hayatına Uyum Sağlama; İş Tecrübesi Edinme; Kurum/Kuruluşlardaki Uygulamaları Öğrenme; Gerçek Üretim ve Hizmet Ortamında Yetişme; Öğrenilen Bilgi ve Becerileri Uygulama; Gerçek Hayat Problemlerini ve Karmaşık Sistemleri Tanıma, Analiz Etme, Modelleme ve Çözme; Rapor Yazma.
---
"
BİMSJ401,Computer Engineering Internship II,2024-2025,BAHAR,"DERS KODU: BİMSJ401 | DERS ADI: Computer Engineering Internship II
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 2.5
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: İşletmede Mesleki Çalışma; Mesleki Bilgi, Beceri, Tutum ve Davranışlar; İş Alanlarını ve Sektörü Tanıma; İş Hayatına Uyum Sağlama; İş Tecrübesi Edinme; Kurum/Kuruluşlardaki Uygulamaları Öğrenme; Gerçek Üretim ve Hizmet Ortamında Yetişme; Öğrenilen Bilgi ve Becerileri Uygulama; Gerçek Hayat Problemlerini ve Karmaşık Sistemleri Tanıma, Analiz Etme, Modelleme ve Çözme; Rapor Yazma.
---
"
BİM108,Computer Programming II (Bilgisayar Programlama II),2024-2025,BAHAR,"DERS KODU: BİM108 | DERS ADI: Computer Programming II (Bilgisayar Programlama II)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 6.0
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: Nesneler ve Sınıflar: Nesne ve sınıf tanımlama, Referans değişkenler yoluyla nesnelere erişim; Nesnelerle Düşünme: Değişmez nesneler ve sınıflar, Sınıf soyutlama ve kapsülleme; OOP Kavramları: Kalıtım, Üst sınıflar ve alt sınıflar, Encapsulation, Çok biçimlilik, Dinamik bağlama, Soyut sınıflar, Arayüzler, Çoklu kalıtım, İç sınıflar, Anonim iç sınıflar; İstisna Yönetimi Kavramları: İstisna türleri, Finally komutu, İstisnaları yeniden atma, Özel istisna sınıfları tanımlama, Onaylamalar; I/O Programlama: Akışa dayalı I/O, Metin I/O, İkili I/O, Rastgele erişim dosyaları.
---
"
BİM103,Computer Programming I (Bilgisayar Programlama I),2024-2025,GÜZ,"DERS KODU: BİM103 | DERS ADI: Computer Programming I (Bilgisayar Programlama I)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 1, KREDİ: 5.0
- KONTENJAN (Toplam/Birim İçi): 9999/0
- DETAYLI İÇERİK: Bilgisayarın Genel Yapısı: Yazılım, Donanım, İşletim sistemleri; Sayı Sistemleri: Onluk, ikilik, sekizlik ve onaltılık sayılar; Algoritmalar; Akış Şemaları; Program Kodlama ve Java Programlamaya Giriş: İlkel veri tipleri ve operasyonlar, Karşılaştırma işlemleri, Döngü yapıları; Basit Giriş/Çıkış İşlemleri: Klavyeden girdi alma, Ekrana çıktı verme; Metodlar; Diziler.
---
"
BİM311,Sistem Analiz ve Tasarımı,2024-2025,GÜZ,"DERS KODU: BİM311 | DERS ADI: Sistem Analiz ve Tasarımı
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 5, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 9999/1
- DETAYLI İÇERİK: Sistem Fonksiyonları ve Bileşenleri; Problem Tanımı ve Çözüm İlkeleri; Sistem Geliştirme Hayat Döngüsü; Analiz Araçları ve Teknikleri; Veri Akış Şemaları ile Mevcut veya Yeni Bir Bilgi Sistemini Modelleme; Veri Tanımlama ve Veri Sözlüğünde Bilgi Gereksinimi; Sistem Tasarımı ve Uygulanması: Girdiler, Çıktılar, Kontroller, Kütük tasarlama; Bilişim Sistemi Geliştirme Aşamaları ve Sistem Çözümleme; Olurluk Çalışması; Yönetim İşlevi; Veri ve Bilgi Kavramları; Bilgi Gereksinimlerinin Saptanması; Sistem Çözümleme Araçları; Bilişim Sistemlerinin Sınıflandırılması; Bilgisayar Destekli Yazılım Mühendisliği Araçları; Yazılım Bakımının Önemi.
---
"
BİM311,Systems Analysis and Design (Sistem Analiz ve Tasarım),2024-2025,GÜZ,"DERS KODU: BİM311 | DERS ADI: Systems Analysis and Design (Sistem Analiz ve Tasarım)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 5, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 9999/1
- DETAYLI İÇERİK: Sistem Fonksiyonları ve Bileşenleri; Problem Tanımı ve Çözüm İlkeleri; Sistem Geliştirme Hayat Döngüsü; Analiz Araçları ve Teknikleri; Veri Akış Şemaları ile Mevcut veya Yeni Bir Bilgi Sistemini Modelleme; Veri Tanımlama ve Veri Sözlüğünde Bilgi Gereksinimi; Sistem Tasarımı ve Uygulanması: Girdiler, Çıktılar, Kontroller, Kütük tasarlama; Bilişim Sistemi Geliştirme Aşamaları ve Sistem Çözümleme; Olurluk Çalışması; Yönetim İşlevi; Veri ve Bilgi Kavramları; Bilgi Gereksinimlerinin Saptanması; Sistem Çözümleme Araçları; Bilişim Sistemlerinin Sınıflandırılması; Bilgisayar Destekli Yazılım Mühendisliği Araçları; Yazılım Bakımının Önemi.
---
"
BİM437,Bilgisayar Mühendisliği için Tasarım,2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Bilgisayar Mühendisliği için Tasarım
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 4/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM437,Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım),2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 4/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
